Timestamp,Твоя програма,Стать,Курс,Чи проживаєш ти у колегіумі?,"Якби вибори студентського Урядку відбувалися завтра, за кого ти би віддав свій голос?",Поясни свій вибір за бажанням ,Чи ти належиш до СО?,Чи ти куриш?(паріння теж враховується),Чи ти цікавишся студентським політичним житям або політикою у країні?
10/5/2023 15:15:45,ІТ та БА,Жінка,2,Так,Не визначився(лась),,Ні,Ні,50 на 50
10/5/2023 15:17:33,Комп’ютерні науки,Чоловік,3,Так,Так,"Найкраща команда, хороші та зрозумілі ідеї програми, представлені на балачці.",Ні,Так,"Так, політикою"
10/5/2023 15:19:14,ІТ та БА,Жінка,3,Ні,Так,,Ні,Ні,"Так, і тим, і тим"
10/5/2023 15:21:56,Комп’ютерні науки,Чоловік,1,Так,Не визначився(лась),,Ні,Так,50 на 50
10/5/2023 15:23:16,ІТ та БА,Жінка,3,Так,Так,знайомі там + подобається їх серйозний підхід і відповідальне ставлення ,Так,Інколи,50 на 50
10/5/2023 15:24:05,Психологія,Жінка,1,Так,Авжеж,"Програма зʼявилась швидко та структуровано, подобаються пункти програми",Ні,Так,"Так, і тим, і тим"
10/5/2023 15:26:12,Психологія,Жінка,1,Ні,Не визначився(лась),,Ні,Ні,"Ні, нічим з вище переліченого"
10/5/2023 15:31:35,Психологія,Чоловік,1,Так,Я виступаю проти всіх,,Ні,Інколи,"Ні, нічим з вище переліченого"
10/5/2023 15:35:18,Філологія,Жінка,2,Так,Так,,Ні,Ні,"Так, і тим, і тим"
10/5/2023 15:49:09,Психологія,Жінка,1,Так,Не визначився(лась),"Спершу була думка проголосувати за ""Та ти шо""  через їхній дизайн та збір команди (усі 5 факультетів). Проте після розповіді співмешканки про програму уряду ""Так"", подумаю вже і за них. ",Так,Ні,"Ні, нічим з вище переліченого"
10/5/2023 15:58:08,ІТ та БА,Жінка,1,Ні,Та ти шо,,Ні,Інколи,"Так, студ життям"
10/5/2023 15:58:26,Культурологія,Жінка,2,Ні,Та ти шо,,Ні,Так,50 на 50
10/5/2023 16:01:02,ІТ та БА,Чоловік,2,Ні,Я виступаю проти всіх,,Ні,Ні,"Так, політикою"
10/5/2023 16:09:29,ЕПЕ,Чоловік,3,Ні,Так,,Так,Ні,"Так, і тим, і тим"
10/5/2023 16:12:52,ЕПЕ,Жінка,2,Ні,Авжеж,,Ні,Ні,"Так, політикою"
10/5/2023 16:14:19,Комп’ютерні науки,Жінка,1,Так,Не визначився(лась),,Ні,Ні,50 на 50
10/5/2023 16:19:55,Філологія,Жінка,2,Так,Так,,Так,Так,"Так, і тим, і тим"
10/5/2023 16:33:44,ІТ та БА,Жінка,2,Ні,Так,Дуже активні кандидати,Ні,Так,"Так, і тим, і тим"
10/5/2023 17:18:27,Історія,Жінка,2,Так,Авжеж,,Так,Ні,"Так, студ життям"
10/5/2023 17:39:17,Історія,Жінка,1,Так,Не визначився(лась),,Ні,Ні,"Так, і тим, і тим"
10/5/2023 17:46:56,Комп’ютерні науки,Чоловік,1,Ні,Не визначився(лась),,Ні,Ні,50 на 50
10/5/2023 18:18:08,Комп’ютерні науки,Не відповідатиму,1,Ні,Я виступаю проти всіх,,Ні,Ні,"Ні, нічим з вище переліченого"
10/5/2023 18:21:33,Комп’ютерні науки,Жінка,1,Ні,Я виступаю проти всіх,,Ні,Ні,"Ні, нічим з вище переліченого"
10/5/2023 18:28:18,Комп’ютерні науки,Жінка,1,Так,Не визначився(лась),,Ні,Інколи,50 на 50
10/5/2023 19:32:40,Право,Жінка,2,Так,Так,,Так,Інколи,"Ні, нічим з вище переліченого"
10/5/2023 19:33:01,Соціальна робота,Жінка,2,Так,Не визначився(лась),,Ні,Інколи,50 на 50
10/5/2023 19:37:34,Право,Жінка,1,Так,Так,"Дуже гарний склад, продумана програма та нормально вибудувані комунікаційні зв'язки ",Ні,Ні,"Так, і тим, і тим"
10/5/2023 19:40:26,Філологія,Жінка,1,Так,Авжеж,,Так,Ні,50 на 50
10/5/2023 19:40:50,Соціологія,Жінка,1,Так,Не визначився(лась),,Так,Так,50 на 50
10/5/2023 19:44:05,Соціологія,Жінка,3,Так,Та ти шо,,Так,Інколи,50 на 50
10/5/2023 19:45:21,Богослов'я,Жінка,1,Так,Так,,Ні,Інколи,"Так, студ життям"
10/5/2023 19:49:55,Соціологія,Не відповідатиму,4,Ні,Так,,Ні,Так,"Так, і тим, і тим"
10/5/2023 19:50:26,Соціологія,Жінка,1,Ні,Не визначився(лась),,Так,Ні,"Так, і тим, і тим"
10/5/2023 19:50:51,Соціологія,Жінка,3,Ні,Авжеж,,Так,Так,"Так, і тим, і тим"
10/5/2023 19:51:11,Соціологія,Жінка,3,Ні,Не визначився(лась),,Так,Так,"Так, і тим, і тим"
10/5/2023 19:51:39,Історія,Жінка,3,Так,Так,,Ні,Так,50 на 50
10/5/2023 19:52:40,Соціологія,Жінка,2,Ні,Та ти шо,,Так,Так,"Так, і тим, і тим"
10/5/2023 19:54:31,Соціологія,Жінка,4,Ні,Не визначився(лась),,Так,Ні,"Так, політикою"
10/5/2023 19:55:58,Історія,Чоловік,4,Ні,Так,,Ні,Так,"Так, і тим, і тим"
10/5/2023 19:56:54,Історія,Чоловік,4,Ні,Я виступаю проти всіх,Всі пропонують дурниці та зовсім не нагальні речі,Так,Так,"Так, і тим, і тим"
10/5/2023 19:59:49,Історія,Жінка,4,Ні,Так,,Ні,Так,"Так, і тим, і тим"
10/5/2023 20:18:52,Історія,Чоловік,4,Ні,Так,"Слабка, але дієва програма. З людей людей неякісні всього троє. Найменше зло.",Так,Так,"Так, і тим, і тим"
10/5/2023 20:29:49,ІТ та БА,Жінка,4,Так,Не визначився(лась),,Ні,Ні,50 на 50
10/5/2023 20:30:21,Право,Жінка,2,Так,Авжеж,,Так,Так,"Так, і тим, і тим"
10/5/2023 20:34:25,Соціологія,Жінка,4,Ні,Не визначився(лась),,Ні,Інколи,"Так, політикою"
